"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","url_key","url_path","custom_design","page_layout","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","price","special_price","weight","msrp","status","is_recurring","visibility","enable_googlecheckout","tax_class_id","description","short_description","meta_keyword","custom_layout_update","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","adurl"
"admin","base","Default","simple","3,5","7491336","0","Формирующие трусики, 3 штуки PETITE FLEUR","","","/b/c/bc54130b-242963.jpg","/b/c/bc54130b-242963.jpg","/b/c/bc54130b-242963.jpg","formirujuschie-trusiki-3-shtuki-petite-fleur","formirujuschie-trusiki-3-shtuki-petite-fleur.html","","No layout updates","","","","","","","Use config","No","999.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","Формирующие трусики, 3 штуки PETITE FLEUR. Спереди красивое кружево. Благодаря сеточке с усилением (90% полиамид, 10% эластан) визуально моделируют проблемные зоны.","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Формирующие трусики, 3 штуки PETITE FLEUR","0","simple","","",""
"admin","base","Default","simple","3,5","7491358","0","Формирующие трусики от PETITE FLEUR, 3 штуки PETITE FLEUR","","","/2/3/232512f8-243494.jpg","/2/3/232512f8-243494.jpg","/2/3/232512f8-243494.jpg","formirujuschie-trusiki-ot-petite-fleur-3-shtuki-petite-fleur","formirujuschie-trusiki-ot-petite-fleur-3-shtuki-petite-fleur.html","","No layout updates","","","","","","","Use config","No","1199.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","Формирующие трусики, 3 шт. PETITE FLEUR. Благодаря сеточке с усилением (90% полиамид, 10% эластан) визуально моделируют проблемные зоны. На поясе надпись PETITE FLEUR.","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Формирующие трусики от PETITE FLEUR, 3 штуки PETITE FLEUR","0","simple","","",""
"admin","base","Default","simple","3,6","7491549","0","Бюстгальтер","","","/b/6/b603aa76-247324.jpg","/b/6/b603aa76-247324.jpg","/b/6/b603aa76-247324.jpg","bjustgal-ter","bjustgal-ter-96.html","","No layout updates","","","","","","","Use config","No","3499.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","Бюстгальтер. Chantelle. Низкий вырез декольте создает невероятно соблазнительные формы. Легкие чашечки, косточки на подкладке. Подходит для моделей с глубоким вырезом.","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Бюстгальтер","0","simple","","",""
"admin","base","Default","simple","3,6","7491704","0","Бюстгальтер, 2 штуки","","","/8/7/8727ac1c-251834.jpg","/8/7/8727ac1c-251834.jpg","/8/7/8727ac1c-251834.jpg","bjustgal-ter-2-shtuki","bjustgal-ter-2-shtuki-83.html","","No layout updates","","","","","","","Use config","No","799.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","Бюстгальтер, 2 штуки.Без косточек, чашечки и бретели украшены вышивкой.","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Бюстгальтер, 2 штуки","0","simple","","",""
"admin","base","Default","simple","3,6","7491788","0","Бюстгальтер, 2 штуки","","","/e/a/ea4726ec-252303.jpg","/e/a/ea4726ec-252303.jpg","/e/a/ea4726ec-252303.jpg","bjustgal-ter-2-shtuki","bjustgal-ter-2-shtuki-84.html","","No layout updates","","","","","","","Use config","No","799.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","Бюстгальтер, 2 штуки. Без косточек. Принт спереди и сзади, мягкие бретели.","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Бюстгальтер, 2 штуки","0","simple","","",""
"admin","base","Default","simple","3,5","7491830","0","Трусики, 3 штуки PETITE FLEUR","","","/1/8/18ac4d98-252486.jpg","/1/8/18ac4d98-252486.jpg","/1/8/18ac4d98-252486.jpg","trusiki-3-shtuki-petite-fleur","trusiki-3-shtuki-petite-fleur.html","","No layout updates","","","","","","","Use config","No","899.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","Трусики, 3 штуки. PETITE FLEUR. Модное кружево. 3 штуки или 6 штук.","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Трусики, 3 штуки PETITE FLEUR","0","simple","","",""
"admin","base","Default","simple","","7492833","0","Спортивный бюстгальтер","","","/6/b/6bf79185-262283.jpg","/6/b/6bf79185-262283.jpg","/6/b/6bf79185-262283.jpg","sportivnyj-bjustgal-ter","sportivnyj-bjustgal-ter-82.html","","No layout updates","","","","","","","Use config","No","1099.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","Спортивный бюстгальтер. Без косточек. Материал „Coolplus“ выводит лишнюю влагу, быстро высыхает, ""дышит"", очень приятный для тела и удобный в уходе. Под грудью с внутренней стороны лента из махровой ткани впитывает лишнюю влагу, бесшовные чашечки, мягкие регулируемые бретели. Застежка на спинке и дополнительная застежка спереди.","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Спортивный бюстгальтер","0","simple","","",""
"admin","base","Default","simple","3,5","7590132","0","Трусики","","","/b/c/bcb7a900-262147.jpg","/b/c/bcb7a900-262147.jpg","/b/c/bcb7a900-262147.jpg","trusiki","trusiki-115.html","","No layout updates","","","","","","","Use config","No","499.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","Трусики. Полупрозрачный материал, спереди отделка кружевом и небольшое украшение.","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Трусики","0","simple","","",""
"admin","base","Default","simple","3,5","7903759","0","Трусики, 3 штуки Speidel","","","/8/d/8d702421-245469.jpg","/8/d/8d702421-245469.jpg","/8/d/8d702421-245469.jpg","trusiki-3-shtuki-speidel","trusiki-3-shtuki-speidel.html","","No layout updates","","","","","","","Use config","No","899.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","Трусики,3 штуки. Тесьма по краям. Стойкий белый цвет.","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Трусики, 3 штуки Speidel","0","simple","","",""
"admin","base","Default","simple","3,6","8006387","0","Бюстгальтер на косточках","","","/2/6/26157d71-233156.jpg","/2/6/26157d71-233156.jpg","/2/6/26157d71-233156.jpg","bjustgal-ter-na-kostochkah","bjustgal-ter-na-kostochkah.html","","No layout updates","","","","","","","Use config","No","699.0000","","1.0000","","Enabled","No","Catalog, Search","Yes","None","Бюстгальтер на косточках. Верхняя часть чашечек из эластичного кружева.","","","","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","0","1","0.0000","1","0","0","0","1","Бюстгальтер на косточках","0","simple","","",""
